Date,Open,High,Low,Close,Adj Close,Volume
25-Aug-23,3.1533,3.3355,3.1471,3.3075,3.3075,31602
24-Aug-23,3.1148,3.1586,3.0995,3.1564,3.1564,20733
23-Aug-23,3.1422,3.169,3.0981,3.1291,3.1291,23732
22-Aug-23,3.1279,3.157,3.0936,3.1388,3.1388,22168
21-Aug-23,3.1713,3.1963,3.11,3.1162,3.1162,33796
18-Aug-23,3.0908,3.1769,3.0831,3.1597,3.1597,44407
17-Aug-23,3.025,3.1164,3.006,3.0938,3.0938,35208
16-Aug-23,3.0331,3.0575,3.0075,3.0209,3.0209,43208
15-Aug-23,3.0795,3.0921,3.0088,3.028,3.028,39323
14-Aug-23,3.1152,3.1344,3.0572,3.0883,3.0883,41667
11-Aug-23,3.1502,3.1949,3.1115,3.1215,3.1215,50478
10-Aug-23,3.2107,3.231,3.1233,3.1533,3.1533,46451
9-Aug-23,3.086,3.2172,3.0791,3.207,3.207,60550
8-Aug-23,3.0329,3.0917,2.9374,3.0856,3.0856,56014
7-Aug-23,3.0699,3.0828,3.0122,3.0155,3.0155,41539
4-Aug-23,3.0852,3.0954,3.039,3.0622,3.0622,47847
3-Aug-23,3.015,3.0927,2.9633,3.0749,3.0749,60044
2-Aug-23,3.0648,3.0874,2.9678,3.0043,3.0043,64179
1-Aug-23,2.9964,3.0725,2.9813,3.0234,3.0234,75580
31-Jul-23,2.9558,3.0041,2.9319,2.9909,2.9909,57104
28-Jul-23,2.9006,2.9748,2.8862,2.9586,2.9586,16841
27-Jul-23,2.8418,2.9233,2.8403,2.9169,2.9169,17082
26-Jul-23,2.77,2.8485,2.7593,2.8429,2.8429,18099
25-Jul-23,2.7745,2.7913,2.7316,2.7776,2.7776,20816
24-Jul-23,2.7458,2.8369,2.722,2.7705,2.7705,28885
21-Jul-23,2.674,2.7507,2.6694,2.7457,2.7457,22409
20-Jul-23,2.6434,2.6736,2.6184,2.6644,2.6644,29646
19-Jul-23,2.6145,2.6774,2.599,2.6418,2.6418,33044
18-Jul-23,2.5684,2.6122,2.5588,2.5994,2.5994,26670
17-Jul-23,2.5825,2.6227,2.5488,2.5642,2.5642,34428
14-Jul-23,2.6181,2.6349,2.5706,2.5979,2.5979,51568
13-Jul-23,2.6059,2.6332,2.5787,2.6104,2.6104,52398
12-Jul-23,2.5769,2.625,2.5714,2.5996,2.5996,52993
11-Jul-23,2.5589,2.5962,2.5455,2.5837,2.5837,39772
10-Jul-23,2.5623,2.583,2.5291,2.5532,2.5532,41615
7-Jul-23,2.4864,2.5628,2.4807,2.5591,2.5591,49170
6-Jul-23,2.498,2.5009,2.4323,2.4794,2.4794,46643
5-Jul-23,2.3922,2.5053,2.385,2.4933,2.4933,66635
3-Jul-23,2.4366,2.4682,2.375,2.3773,2.3773,47628
30-Jun-23,2.425,2.4648,2.402,2.4482,2.4482,55685
29-Jun-23,2.4046,2.4518,2.3887,2.4156,2.4156,10102
28-Jun-23,2.4176,2.4362,2.3708,2.4067,2.4067,16021
27-Jun-23,2.4526,2.48,2.3899,2.399,2.399,21228
26-Jun-23,2.426,2.4651,2.4096,2.4388,2.4388,27498
23-Jun-23,2.4697,2.4705,2.3816,2.4071,2.4071,27896
22-Jun-23,2.5587,2.576,2.447,2.4655,2.4655,34592
21-Jun-23,2.4639,2.5684,2.453,2.5642,2.5642,43195
20-Jun-23,2.5514,2.5539,2.4417,2.4754,2.4754,49195
16-Jun-23,2.4825,2.5562,2.4735,2.5514,2.5514,54972
15-Jun-23,2.3646,2.49,2.3445,2.4796,2.4796,48210
14-Jun-23,2.393,2.4323,2.3514,2.3577,2.3577,54126
13-Jun-23,2.3147,2.4088,2.3118,2.3955,2.3955,48302
12-Jun-23,2.3607,2.3607,2.297,2.3091,2.3091,49804
9-Jun-23,2.3828,2.403,2.3593,2.361,2.361,39415
8-Jun-23,2.4042,2.4263,2.3174,2.3898,2.3898,55623
7-Jun-23,2.36,2.4137,2.342,2.4018,2.4018,56313
6-Jun-23,2.3745,2.3828,2.3279,2.3678,2.3678,37284
5-Jun-23,2.41,2.4286,2.3648,2.3775,2.3775,43930
2-Jun-23,2.3174,2.3797,2.3115,2.3569,2.3569,52558
1-Jun-23,2.24,2.3358,2.2352,2.3147,2.3147,53592
31-May-23,2.2652,2.2879,2.2367,2.2596,2.2596,43160
30-May-23,2.3838,2.3874,2.275,2.2808,2.2808,19229
26-May-23,2.3413,2.3913,2.3312,2.3693,2.3693,20725
25-May-23,2.409,2.4131,2.3183,2.3462,2.3462,16616
24-May-23,2.3774,2.42,2.375,2.4137,2.4137,22691
23-May-23,2.3703,2.4054,2.3567,2.3617,2.3617,21534
22-May-23,2.3669,2.3814,2.3317,2.3664,2.3664,20449
19-May-23,2.4094,2.4481,2.355,2.3622,2.3622,36211
18-May-23,2.4227,2.4251,2.3768,2.4026,2.4026,29802
17-May-23,2.3603,2.4311,2.3428,2.4226,2.4226,37639
16-May-23,2.3802,2.3965,2.3436,2.3639,2.3639,39513
15-May-23,2.305,2.3865,2.2812,2.378,2.378,48218
12-May-23,2.3588,2.3617,2.301,2.3055,2.3055,38418
11-May-23,2.3935,2.4233,2.344,2.3495,2.3495,40237
10-May-23,2.3948,2.408,2.3644,2.3934,2.3934,48935
9-May-23,2.3639,2.3936,2.322,2.3902,2.3902,34707
8-May-23,2.3147,2.3845,2.3147,2.3777,2.3777,38534
5-May-23,2.2409,2.3258,2.2307,2.3147,2.3147,40367
4-May-23,2.2102,2.2695,2.15,2.2387,2.2387,44163
3-May-23,2.295,2.2979,2.2046,2.2323,2.2323,54234
2-May-23,2.3818,2.3974,2.2714,2.2892,2.2892,58371
1-May-23,2.3722,2.3896,2.3268,2.3823,2.3823,41467
28-Apr-23,2.3535,2.3935,2.332,2.3787,2.3787,54171
27-Apr-23,2.3715,2.3881,2.3351,2.3542,2.3542,13977
26-Apr-23,2.451,2.4695,2.3696,2.373,2.373,13430
25-Apr-23,2.5246,2.5465,2.4482,2.4511,2.4511,22924
24-Apr-23,2.5042,2.5436,2.4618,2.531,2.531,27142
21-Apr-23,2.4917,2.522,2.4777,2.4886,2.4886,23046
20-Apr-23,2.5525,2.5525,2.4712,2.4949,2.4949,23903
19-Apr-23,2.599,2.6019,2.5457,2.5577,2.5577,22375
18-Apr-23,2.6244,2.629,2.5798,2.5999,2.5999,36625
17-Apr-23,2.6464,2.6512,2.5838,2.6147,2.6147,43513
14-Apr-23,2.6838,2.6851,2.632,2.6392,2.6392,51686
13-Apr-23,2.7016,2.7141,2.6636,2.6728,2.6728,38345
12-Apr-23,2.6679,2.7234,2.6489,2.7031,2.7031,46917
11-Apr-23,2.6825,2.7057,2.6275,2.6682,2.6682,53730
10-Apr-23,2.6658,2.7036,2.6396,2.6814,2.6814,48249
6-Apr-23,2.7325,2.7348,2.6564,2.6605,2.6605,-
5-Apr-23,2.69,2.7399,2.6561,2.731,2.731,69649
4-Apr-23,2.6697,2.7013,2.6092,2.6667,2.6667,55349
3-Apr-23,2.7235,2.7642,2.6509,2.6626,2.6626,57119
31-Mar-23,2.64,2.683,2.6286,2.6763,2.6763,47920
30-Mar-23,2.6498,2.6823,2.621,2.6237,2.6237,14290
29-Mar-23,2.7581,2.7666,2.6416,2.6581,2.6581,21742
28-Mar-23,2.7647,2.8073,2.7407,2.7696,2.7696,25705
27-Mar-23,2.715,2.7767,2.6819,2.7704,2.7704,34893
24-Mar-23,2.6847,2.725,2.6188,2.6952,2.6952,27640
23-Mar-23,2.715,2.7581,2.6724,2.6847,2.6847,35004
22-Mar-23,2.6903,2.7769,2.6601,2.7403,2.7403,32515
21-Mar-23,2.6856,2.699,2.6363,2.6902,2.6902,32592
20-Mar-23,2.675,2.7224,2.5861,2.6871,2.6871,36532
17-Mar-23,2.6407,2.7306,2.6345,2.6787,2.6787,51343
16-Mar-23,2.606,2.654,2.5021,2.6435,2.6435,49609
15-Mar-23,2.7266,2.7565,2.5405,2.6049,2.6049,61803
14-Mar-23,2.7704,2.796,2.7017,2.7144,2.7144,45558
13-Mar-23,2.7792,2.808,2.6456,2.7615,2.7615,60536
10-Mar-23,2.6664,2.7923,2.6294,2.7729,2.7729,56654
9-Mar-23,2.7331,2.78,2.6647,2.6689,2.6689,55817
8-Mar-23,2.7842,2.8058,2.7168,2.7419,2.7419,56159
7-Mar-23,2.8894,2.9065,2.7742,2.7975,2.7975,49752
6-Mar-23,2.9099,2.91,2.831,2.8866,2.8866,40496
3-Mar-23,2.8527,2.9198,2.8005,2.9131,2.9131,43768
2-Mar-23,2.8718,2.9107,2.8382,2.8662,2.8662,56679
1-Mar-23,2.7982,2.8753,2.792,2.8738,2.8738,44205
28-Feb-23,2.8199,2.8613,2.7947,2.8209,2.8209,45224
27-Feb-23,2.8006,2.84,2.7779,2.8198,2.8198,18220
24-Feb-23,2.7225,2.809,2.6837,2.7962,2.7962,21419
23-Feb-23,2.7,2.7416,2.6643,2.7081,2.7081,27805
22-Feb-23,2.794,2.8095,2.7,2.7148,2.7148,24419
21-Feb-23,2.7306,2.82,2.6935,2.7919,2.7919,34042
17-Feb-23,2.795,2.7965,2.6577,2.7121,2.7121,34782
16-Feb-23,2.8444,2.8874,2.7816,2.8108,2.8108,24405
15-Feb-23,2.9179,2.93,2.802,2.8444,2.8444,33752
14-Feb-23,2.8862,2.9496,2.8524,2.9401,2.9401,40022
13-Feb-23,2.87,2.9223,2.8188,2.9057,2.9057,38254
10-Feb-23,2.8175,2.9129,2.8027,2.8646,2.8646,41335
9-Feb-23,2.9009,2.93,2.7905,2.8154,2.8154,42552
8-Feb-23,2.908,2.9774,2.8629,2.8933,2.8933,50423
7-Feb-23,2.769,2.9106,2.7607,2.9044,2.9044,57888
6-Feb-23,2.7844,2.8142,2.6653,2.7687,2.7687,56836
3-Feb-23,2.9061,2.9311,2.767,2.7753,2.7753,56909
2-Feb-23,2.9647,2.9775,2.8911,2.8967,2.8967,53720
1-Feb-23,3.1421,3.1502,2.9265,2.9511,2.9511,63181
31-Jan-23,3.1135,3.208,3.057,3.1823,3.1823,54356
30-Jan-23,3.2816,3.292,3.1,3.1108,3.1108,19724
27-Jan-23,3.3974,3.4361,3.25,3.2655,3.2655,26387
26-Jan-23,3.3597,3.4269,3.3146,3.3965,3.3965,23571
25-Jan-23,3.4598,3.5156,3.325,3.3613,3.3613,30174
24-Jan-23,3.5406,3.58,3.4134,3.4272,3.4272,32097
23-Jan-23,3.4731,3.5727,3.4615,3.5509,3.5509,32337
20-Jan-23,3.3856,3.4828,3.3561,3.4668,3.4668,44455
19-Jan-23,3.2539,3.3878,3.2115,3.3759,3.3759,45013
18-Jan-23,3.2765,3.3375,3.23,3.263,3.263,36242
17-Jan-23,3.2676,3.3025,3.2165,3.251,3.251,53003
13-Jan-23,3.2241,3.2882,3.2037,3.2559,3.2559,44314
12-Jan-23,3.1926,3.2673,3.1672,3.219,3.219,51914
11-Jan-23,3.1188,3.2488,3.0944,3.2179,3.2179,70867
10-Jan-23,3.0389,3.1559,3.0099,3.1357,3.1357,60635
9-Jan-23,3.0054,3.1069,2.9949,3.036,3.036,49943
6-Jan-23,2.9789,3.0536,2.952,3.0045,3.0045,41596
5-Jan-23,3.0016,3.0669,2.92,2.9723,2.9723,55068
4-Jan-23,3.0682,3.0912,2.9215,2.9719,2.9719,51609
3-Jan-23,3.2965,3.3322,3.0755,3.0865,3.0865,58567
30-Dec-22,3.3269,3.375,3.2619,3.3622,3.3622,39583
29-Dec-22,3.3568,3.3568,3.2433,3.313,3.313,15083
28-Dec-22,3.389,3.3937,3.227,3.3778,3.3778,17548
27-Dec-22,3.2854,3.4051,3.2561,3.3537,3.3537,25341
23-Dec-22,3.1536,3.2999,3.116,3.2661,3.2661,23375
22-Dec-22,3.183,3.2179,3.116,3.1314,3.1314,18838
21-Dec-22,3.0688,3.1826,3.0617,3.1395,3.1395,20118
20-Dec-22,3.1042,3.1042,2.9984,3.0589,3.0589,21054
19-Dec-22,3.1264,3.1712,3.0503,3.0535,3.0535,27743
16-Dec-22,3.2844,3.2963,3.1116,3.1199,3.1199,38898
15-Dec-22,3.271,3.3268,3.2304,3.2834,3.2834,36628
14-Dec-22,3.0894,3.2848,3.082,3.2768,3.2768,49291
13-Dec-22,2.9614,3.1167,2.9503,3.0922,3.0922,41479
12-Dec-22,2.8211,3.0077,2.7882,2.9685,2.9685,49098
9-Dec-22,2.8714,2.898,2.7672,2.7937,2.7937,40550
8-Dec-22,2.7771,2.8929,2.775,2.8798,2.8798,50190
7-Dec-22,2.9177,2.9375,2.7647,2.7805,2.7805,53132
6-Dec-22,3.0001,3.03,2.8777,2.9155,2.9155,49244
5-Dec-22,3.1801,3.2382,2.9823,2.9998,2.9998,60361
2-Dec-22,3.2535,3.3156,3.1475,3.1685,3.1685,47408
1-Dec-22,3.3539,3.4103,3.2476,3.2624,3.2624,52140
30-Nov-22,3.315,3.401,3.3037,3.3629,3.3629,49971
29-Nov-22,3.2003,3.3293,3.1732,3.2959,3.2959,19783
28-Nov-22,3.2581,3.272,3.1757,3.2154,3.2154,20631
25-Nov-22,3.351,3.4384,3.2334,3.2391,3.2391,12030
23-Nov-22,3.4823,3.5097,3.346,3.3593,3.3593,25008
22-Nov-22,3.4955,3.5335,3.4561,3.4713,3.4713,21899
21-Nov-22,3.5176,3.5181,3.3681,3.4973,3.4973,20483
18-Nov-22,3.5199,3.55,3.4101,3.5181,3.5181,24940
17-Nov-22,3.6259,3.6292,3.4768,3.5248,3.5248,28754
16-Nov-22,3.6267,3.6721,3.5745,3.6136,3.6136,26147
15-Nov-22,3.564,3.7173,3.5374,3.6413,3.6413,36800
14-Nov-22,3.5846,3.7037,3.5231,3.544,3.544,40162
11-Nov-22,3.5729,3.6948,3.5078,3.5553,3.5553,49242
10-Nov-22,3.6505,3.69,3.5598,3.5694,3.5694,49190
9-Nov-22,3.7797,3.7886,3.6371,3.6563,3.6563,45818
8-Nov-22,3.7769,3.9019,3.7395,3.7707,3.7707,47759
7-Nov-22,3.9001,3.9001,3.7702,3.7811,3.7811,46020
4-Nov-22,3.8633,3.9565,3.8223,3.9148,3.9148,47578
3-Nov-22,3.6898,3.8944,3.6264,3.8653,3.8653,54429
2-Nov-22,3.6359,3.6945,3.5526,3.6774,3.6774,43189
1-Nov-22,3.6817,3.7728,3.6128,3.6211,3.6211,50018
